"","signal","dose","group"
"1",0.241347602309817,0.01496,"Fed"
"2",0.274953495049876,0.01406,"Fed"
"3",0.0432806562518849,0.01872,"Fed"
"4",0.0745792437915816,0.02183,"Fed"
"5",0.13268618795268,0.02574,"Fed"
"6",0.03746,0.02103,"Fed"
"7",0.05531,0.02503,"Fed"
"8",0.06922,0.02515,"Fed"
"9",0.04865,0.04227,"Fed"
"10",0.08504,0.06135,"Fed"
"11",0.02589,0.0732,"Fed"
"12",0.03961,0.26337,"Fed"
"13",0.03883,0.24338,"Fed"
"14",0.01957,0.29306,"Fed"
"15",0.06644,0.09851,"Fed"
"16",0.02687,0.14855,"Fed"
"17",0.03458,0.02389,"Fasted"
"18",0.04408,0.0257,"Fasted"
"19",0.03707,0.02541,"Fasted"
"20",0.035,0.01724,"Fasted"
"21",0.05878,0.01467,"Fasted"
"22",0.04619,0.01885,"Fasted"
"23",0.06073,0.0387,"Fasted"
"24",0.04393,0.03281,"Fasted"
"25",0.03581,0.05475,"Fasted"
"26",0.05205,0.09846,"Fasted"
"27",0.03125,0.06898,"Fasted"
"28",0.04154,0.2328,"Fasted"
"29",0.04316,0.25174,"Fasted"
"30",0.03628,0.13275,"Fasted"
"31",0.03662,0.14779,"Fasted"
"32",0.03085,0.07217,"Fasted"
